berry,main_tree_type,forest_development_class,x,y,year,week_number,Latitude,Longitude,Coordinates
bilberry,spruce,plantation,560000,6860000,2022,29,61.86798143940558,28.14064416721968,"61.867981439405575,28.14064416721968"
bilberry,spruce,old,570000,6760000,2022,29,60.96877461764583,28.293028059004,"60.96877461764583,28.293028059004005"
bilberry,spruce,old,390000,6720000,2022,29,60.60076177751631,24.99114302977634,"60.60076177751631,24.991143029776342"
bilberry,spruce,old,440000,7060000,2022,29,63.66272145965444,25.78784554414271,"63.66272145965444,25.787845544142705"
bilberry,pine,old,490000,6820000,2022,30,61.51350079948964,26.8120671509898,"61.51350079948964,26.8120671509898"
bilberry,spruce,plantation,580000,7440000,2022,30,67.06671038583723,28.84002284346735,"67.06671038583723,28.84002284346735"
bilberry,pine,old,510000,6810000,2022,30,61.42372846636539,27.18739283992106,"61.42372846636539,27.187392839921063"
bilberry,pine,plantation,490000,7320000,2022,30,66.00064945186834,26.77966452750767,"66.00064945186834,26.779664527507673"
bilberry,pine,old,400000,6810000,2022,28,61.41096894323828,25.12665719775865,"61.41096894323828,25.126657197758647"
bilberry,pine,old,440000,6910000,2022,30,62.31671413820212,25.84238630262738,"62.31671413820212,25.842386302627375"
bilberry,pine,clearing,560000,7340000,2022,30,66.17451645731465,28.33115995234911,"66.17451645731465,28.331159952349108"
bilberry,spruce,plantation,440000,7370000,2022,30,66.44358019442852,25.65452968275375,"66.44358019442852,25.654529682753747"
bilberry,spruce,old,320000,7030000,2022,30,63.35322445838526,23.4014322658941,"63.353224458385256,23.4014322658941"
bilberry,spruce,old,330000,6900000,2022,30,62.19326888344806,23.73260785141543,"62.19326888344806,23.732607851415434"
bilberry,pine,clearing,490000,7470000,2022,30,67.34626194946154,26.76734120543229,"67.34626194946154,26.76734120543229"
bilberry,spruce,old,660000,6970000,2022,30,62.82505113472511,30.14091537248861,"62.825051134725115,30.140915372488614"
bilberry,pine,old,590000,6900000,2022,30,62.22097184037899,28.73099987639446,"62.220971840378986,28.730999876394463"
bilberry,pine,old,620000,6830000,2022,30,61.58470648264233,29.2606833191141,"61.58470648264233,29.2606833191141"
bilberry,spruce,plantation,340000,6860000,2022,29,61.83911059831635,23.96046232788932,"61.83911059831635,23.960462327889317"
bilberry,mixed,old,630000,6840000,2022,29,61.67115094411896,29.45597925527323,"61.671150944118956,29.45597925527323"
bilberry,pine,old,610000,6840000,2022,29,61.67740315531292,29.07845717885191,"61.677403155312916,29.078457178851906"
bilberry,birch,plantation,570000,7720000,2022,31,69.57940544236097,28.79788518449983,"69.57940544236097,28.79788518449983"
bilberry,spruce,old,600000,7050000,2022,30,63.56395967031785,29.01341867019809,"63.56395967031785,29.013418670198092"
bilberry,larch,old,280000,6660000,2022,31,60.01813513825719,23.05204571070333,"60.018135138257186,23.052045710703325"
bilberry,pine,plantation,570000,7320000,2022,31,65.99308654415161,28.54201365048702,"65.99308654415161,28.542013650487018"
bilberry,pine,old,420000,7140000,2022,31,64.37637889103851,25.34193331218433,"64.37637889103851,25.341933312184327"
bilberry,pine,plantation,550000,7370000,2022,31,66.44535030179529,28.1212832161711,"66.44535030179529,28.121283216171097"
bilberry,pine,old,420000,6730000,2022,31,60.69762167557031,25.53469385989771,"60.69762167557031,25.53469385989771"
bilberry,pine,old,450000,6760000,2022,30,60.97181150018109,26.07634075546032,"60.97181150018109,26.076340755460322"
bilberry,pine,plantation,550000,6980000,2022,31,62.94639830650993,27.98533934555251,"62.946398306509934,27.985339345552514"
bilberry,pine,plantation,560000,7270000,2022,32,65.54665834435944,28.29903317642823,"65.54665834435944,28.29903317642823"
bilberry,spruce,old,500000,7330000,2022,29,66.09052250875135,27.0,"66.09052250875135,27.0"
bilberry,spruce,old,560000,6870000,2022,32,61.95773054155541,28.14399257063872,"61.95773054155541,28.143992570638723"
bilberry,spruce,old,630000,7120000,2022,32,64.1817445353171,29.67581873754558,"64.1817445353171,29.675818737545583"
bilberry,spruce,old,570000,6870000,2022,31,61.95601700275535,28.33460102747813,"61.95601700275535,28.33460102747813"
bilberry,pine,old,370000,6740000,2022,28,60.77419171702346,24.61297535506698,"60.77419171702346,24.612975355066975"
bilberry,spruce,plantation,240000,6930000,2022,31,62.41008070941352,21.96455006782173,"62.41008070941352,21.964550067821726"
bilberry,spruce,plantation,300000,6890000,2022,32,62.08893752024721,23.16877837909663,"62.08893752024721,23.168778379096633"
bilberry,pine,old,590000,7190000,2022,29,64.82231406098575,28.89616820964196,"64.82231406098575,28.89616820964196"
bilberry,spruce,plantation,570000,7240000,2022,30,65.27557679478303,28.49999468772389,"65.27557679478303,28.499994687723895"
bilberry,spruce,seedling,580000,7260000,2022,30,65.4526573933773,28.72590104157074,"65.4526573933773,28.725901041570737"
bilberry,spruce,old,380000,7330000,2022,33,66.06774705289152,24.34837655185306,"66.06774705289152,24.348376551853057"
bilberry,pine,plantation,390000,6750000,2022,30,60.86994267071796,24.97425009187618,"60.86994267071796,24.974250091876183"
bilberry,spruce,old,310000,6700000,2022,30,60.3916252023996,23.55173066416588,"60.391625202399595,23.551730664165877"
bilberry,spruce,old,240000,6870000,2022,29,61.87353963442405,22.05307659104899,"61.87353963442405,22.053076591048992"
bilberry,pine,plantation,650000,7130000,2022,29,64.26323043944537,30.09681796774052,"64.26323043944537,30.096817967740524"
bilberry,pine,plantation,620000,7100000,2022,32,64.00605871491565,29.45437074917693,"64.00605871491565,29.454370749176935"
bilberry,pine,clearing,570000,7410000,2022,32,66.80018695321921,28.59249727980589,"66.80018695321921,28.59249727980589"
bilberry,spruce,seedling,530000,6990000,2022,29,63.03834587705324,27.59305447971724,"63.03834587705324,27.59305447971724"
