year,week_number,rovaniemi_temperature,sodankylä_temperature,ivalo_temperature,oulu_temperature,kajaani_temperature,kuopio_temperature,jyväskylä_temperature,tampere_temperature,helsinki_temperature,rov_lat,rov_lon,sod_lat,sod_lon,iva_lat,iva_lon,oul_lat,oul_lon,kaj_lat,kaj_lon,kuo_lat,kuo_lon,jyv_lat,jyv_lon,tam_lat,tam_lon,hel_lat,hel_lon
2020,18,"1,566666667","1,3","1,1","4,866666667","4,3","4,633333333","6,466666667","7,1","8,266666667","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,19,"2,514285714","2,428571429","2,1","4,7","4,514285714","7,857142857","6,042857143","4,757142857","8,885714286","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,20,"2,4","2,328571429","1,642857143","3,928571429","2,714285714","13,47142857","3,285714286","6,714285714","4,628571429","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,21,"6,914285714","6,157142857","5,914285714","8,571428571","8,242857143","14,38571429","8,528571429","12,92857143","9,514285714","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,22,"11,62857143","10,58571429","9,842857143","12,15714286","11,57142857","16,8","13,21428571","15,11428571","15,44285714","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,23,"14,25714286","13,7","11,1","15,75714286","14,91428571","19,71428571","14,1","15,91428571","13,84285714","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,24,"15,21428571","14,78571429","13,71428571","16,07142857","16,72857143","21,8","17,11428571","19,9","17,65714286","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,25,"15,74285714","15,8","13,9","18,07142857","17,7","15,67142857","19,17142857","21,37142857","20,58571429","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,26,"18,05714286","17,2","14,18571429","19,51428571","18,8","14,35714286","21,97142857","17,31428571","22,07142857","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,27,"12,1","12,71428571","10,48571429","13,91428571","13,87142857","16,84285714","14,47142857","13,25714286","16,04285714","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,28,"12,44285714","12,85714286","12,18571429","13,51428571","13,77142857","16,85714286","13,48571429","15,07142857","14,61428571","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,29,"15,4","16,11428571","16,07142857","16,91428571","16,38571429","16,64285714","17,04285714","16,27142857","18,35714286","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,30,"16,15714286","17,25714286","17,38571429","16,1","15,58571429","17,1","14,94285714","16,14285714","16,47142857","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
